fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Steve Garcia,David Onama,1,0,33,2,0,0,0,0,win,Steve Garcia,Featherweight,KO/TKO Punches,1,3:34,"Las Vegas, Nevada, USA"
Waldo Cortes Acosta,Ante Delija,1,0,12,16,0,0,0,0,win,Waldo Cortes Acosta,Heavyweight,KO/TKO Punch,1,3:59,"Las Vegas, Nevada, USA"
Jeremiah Wells,Themba Gorimbo,0,0,32,18,3,6,3,0,win,Jeremiah Wells,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Yadier del Valle,Isaac Dulgarian,0,0,1,0,0,0,3,0,win,Yadier del Valle,Featherweight,SUB Rear Naked Choke,1,3:41,"Las Vegas, Nevada, USA"
Charles Radtke,Daniel Frunza,0,0,31,6,3,0,2,0,win,Charles Radtke,Welterweight,SUB Rear Naked Choke,3,4:29,"Las Vegas, Nevada, USA"
Allan Nascimento,Cody Durden,0,0,52,57,0,1,1,0,win,Allan Nascimento,Catch Weight,SUB Anaconda Choke,2,3:13,"Las Vegas, Nevada, USA"
Billy Elekana,Kevin Christian,1,0,17,14,0,0,1,0,win,Billy Elekana,Light Heavyweight,SUB Rear Naked Choke,1,3:33,"Las Vegas, Nevada, USA"
Timmy Cuamba,ChangHo Lee,0,0,23,15,2,3,0,0,win,Timmy Cuamba,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Donte Johnson,Sedriques Dumas,0,0,10,5,3,1,1,0,win,Donte Johnson,Middleweight,SUB Guillotine Choke,2,1:25,"Las Vegas, Nevada, USA"
Norma Dumont,Ketlen Vieira,0,0,62,25,0,2,0,1,win,Norma Dumont,Women's Bantamweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Alice Ardelean,Montserrat Conejo Ruiz,0,0,138,85,1,1,0,0,win,Alice Ardelean,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Seokhyeon Ko,Phil Rowe,0,0,36,4,4,0,0,0,win,Seokhyeon Ko,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Talita Alencar,Ariane Carnelossi,0,0,60,25,5,0,2,0,win,Talita Alencar,Women's Strawweight,SUB Rear Naked Choke,3,4:36,"Las Vegas, Nevada, USA"
Tom Aspinall,Ciryl Gane,0,0,27,30,0,0,0,0,nc,-,Heavyweight,CNC,1,4:35,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Mackenzie Dern,Virna Jandiroba,0,0,118,106,2,9,0,0,win,Mackenzie Dern,Women's Strawweight,U-DEC,5,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Umar Nurmagomedov,Mario Bautista,0,1,32,20,11,0,0,1,win,Umar Nurmagomedov,Bantamweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Alexander Volkov,Jailton Almeida,0,0,24,9,0,7,0,0,win,Alexander Volkov,Heavyweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Azamat Murzakanov,Aleksandar Rakic,1,0,3,9,0,0,0,0,win,Azamat Murzakanov,Light Heavyweight,KO/TKO Punch,1,3:11,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Quillan Salkilld,Nasrat Haqparast,1,0,14,10,0,0,0,0,win,Quillan Salkilld,Lightweight,KO/TKO Kick,1,2:30,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Ikram Aliskerov,JunYong Park,0,0,91,78,5,0,0,0,win,Ikram Aliskerov,Middleweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Ludovit Klein,Mateusz Rebecki,0,0,82,72,0,3,0,0,win,Ludovit Klein,Lightweight,M-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
