fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Alexis Davis,Sabina Mazo,0,0,49,64,3,0,0,0,win,Alexis Davis,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Ronnie Lawrence,Vince Cachero,0,0,77,15,8,0,0,1,win,Ronnie Lawrence,Bantamweight,KO/TKO Punches,3,2:38,"Las Vegas, Nevada, USA"
Dustin Jacoby,Maxim Grishin,0,2,57,66,0,0,0,0,win,Dustin Jacoby,Light Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Derrick Lewis,Curtis Blaydes,1,0,7,28,0,0,0,0,win,Derrick Lewis,Heavyweight,KO/TKO Punch,2,1:26,"Las Vegas, Nevada, USA"
Yana Santos,Ketlen Vieira,0,0,47,7,0,3,0,0,win,Yana Santos,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Darrick Minner,Charles Rosa,1,0,45,15,4,0,3,2,win,Darrick Minner,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Chris Daukaus,Aleksei Oleinik,0,0,34,5,0,0,0,0,win,Chris Daukaus,Heavyweight,KO/TKO Punches,1,1:55,"Las Vegas, Nevada, USA"
Phil Hawes,Nassourdine Imavov,0,0,31,57,4,0,0,0,win,Phil Hawes,Middleweight,M-DEC,3,5:00,"Las Vegas, Nevada, USA"
Tom Aspinall,Andrei Arlovski,0,0,37,20,1,0,1,0,win,Tom Aspinall,Heavyweight,SUB Rear Naked Choke,2,1:09,"Las Vegas, Nevada, USA"
Jared Gordon,Danny Chavez,0,0,82,39,2,1,0,0,win,Jared Gordon,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
John Castaneda,Eddie Wineland,1,0,42,17,0,1,0,0,win,John Castaneda,Bantamweight,KO/TKO Punches,1,4:44,"Las Vegas, Nevada, USA"
Julian Erosa,Nate Landwehr,1,0,15,9,0,0,0,0,win,Julian Erosa,Featherweight,KO/TKO Flying Knee,1,0:56,"Las Vegas, Nevada, USA"
Casey O'Neill,Shana Dobson,0,0,49,16,4,0,1,0,win,Casey O'Neill,Women's Flyweight,KO/TKO Punches,2,3:41,"Las Vegas, Nevada, USA"
Aiemann Zahabi,Drako Rodriguez,1,0,9,11,0,0,0,0,win,Aiemann Zahabi,Bantamweight,KO/TKO Punch,1,3:05,"Las Vegas, Nevada, USA"
Serghei Spivac,Jared Vanderaa,0,0,51,13,3,0,0,0,win,Serghei Spivac,Heavyweight,KO/TKO Punches,2,4:32,"Las Vegas, Nevada, USA"
Kamaru Usman,Gilbert Burns,2,0,83,45,0,0,0,0,win,Kamaru Usman,Welterweight,KO/TKO Punches,3,0:34,"Las Vegas, Nevada, USA"
Alexa Grasso,Maycee Barber,0,0,38,40,0,3,1,0,win,Alexa Grasso,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Kelvin Gastelum,Ian Heinisch,0,0,38,27,6,1,0,2,win,Kelvin Gastelum,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Ricky Simon,Brian Kelleher,0,0,45,19,6,0,1,0,win,Ricky Simon,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Julian Marquez,Maki Pitolo,0,0,41,32,0,5,4,1,win,Julian Marquez,Middleweight,SUB Anaconda Choke,3,4:17,"Las Vegas, Nevada, USA"
Anthony Hernandez,Rodolfo Vieira,0,0,32,9,0,4,2,0,win,Anthony Hernandez,Middleweight,SUB Guillotine Choke,2,1:53,"Las Vegas, Nevada, USA"
Belal Muhammad,Dhiego Lima,0,0,129,69,1,0,0,0,win,Belal Muhammad,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Polyana Viana,Mallory Martin,0,0,4,5,0,1,5,0,win,Polyana Viana,Women's Strawweight,SUB Armbar,1,3:18,"Las Vegas, Nevada, USA"
Chris Gutierrez,Andre Ewell,1,0,69,59,1,1,0,1,win,Chris Gutierrez,Catch Weight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Gabe Green,Phil Rowe,2,0,70,42,2,2,1,0,win,Gabe Green,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Alexander Volkov,Alistair Overeem,1,0,54,10,0,0,0,0,win,Alexander Volkov,Heavyweight,KO/TKO Punch,2,2:06,"Las Vegas, Nevada, USA"
Cory Sandhagen,Frankie Edgar,1,0,2,2,0,0,0,0,win,Cory Sandhagen,Bantamweight,KO/TKO Flying Knee,1,0:28,"Las Vegas, Nevada, USA"
Clay Guida,Michael Johnson,0,0,49,58,3,0,1,0,win,Clay Guida,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Alexandre Pantoja,Manel Kape,0,0,74,49,0,2,0,0,win,Alexandre Pantoja,Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Beneil Dariush,Diego Ferreira,0,0,62,54,5,0,0,0,win,Beneil Dariush,Lightweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Danilo Marques,Mike Rodriguez,0,0,29,16,4,0,2,0,win,Danilo Marques,Light Heavyweight,SUB Rear Naked Choke,2,4:52,"Las Vegas, Nevada, USA"
Devonte Smith,Justin Jaynes,0,0,34,11,1,0,1,0,win,Devonte Smith,Catch Weight,KO/TKO,2,3:38,"Las Vegas, Nevada, USA"
Karol Rosa,Joselyne Edwards,0,0,57,38,4,1,0,0,win,Karol Rosa,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Lara Procopio,Molly McCann,0,0,36,37,7,0,1,1,win,Lara Procopio,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
SeungWoo Choi,Youssef Zalal,0,0,41,23,2,3,0,1,win,SeungWoo Choi,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Timur Valiev,Martin Day,0,0,55,8,4,0,0,0,win,Timur Valiev,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Ode Osbourne,Jerome Rivera,1,0,5,2,0,0,0,0,win,Ode Osbourne,Featherweight,KO/TKO Punch,1,0:26,"Las Vegas, Nevada, USA"
Dustin Poirier,Conor McGregor,1,0,48,29,1,0,0,0,win,Dustin Poirier,Lightweight,KO/TKO Punches,2,2:32,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Michael Chandler,Dan Hooker,1,0,17,8,0,0,0,0,win,Michael Chandler,Lightweight,KO/TKO Punch,1,2:30,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Joanne Wood,Jessica Eye,0,0,148,77,1,1,0,0,win,Joanne Wood,Women's Flyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Makhmud Muradov,Andrew Sanchez,0,0,79,48,0,0,0,0,win,Makhmud Muradov,Middleweight,KO/TKO Punches,3,2:59,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Marina Rodriguez,Amanda Ribas,1,0,15,7,0,1,0,0,win,Marina Rodriguez,Women's Strawweight,KO/TKO Punch,2,0:54,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Arman Tsarukyan,Matt Frevola,0,0,50,16,10,0,0,0,win,Arman Tsarukyan,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Brad Tavares,Antonio Carlos Junior,0,0,54,34,0,1,0,0,win,Brad Tavares,Middleweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Julianna Pena,Sara McMann,0,0,38,21,1,3,1,0,win,Julianna Pena,Women's Bantamweight,SUB Rear Naked Choke,3,3:39,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Marcin Prachnio,Khalil Rountree Jr.,0,0,102,49,0,0,0,0,win,Marcin Prachnio,Light Heavyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Movsar Evloev,Nik Lentz,0,0,82,46,2,1,0,2,win,Movsar Evloev,Catch Weight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Amir Albazi,Zhalgas Zhumagulov,0,0,68,59,2,1,0,0,win,Amir Albazi,Flyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Michael Chiesa,Neil Magny,0,0,24,12,4,1,0,1,win,Michael Chiesa,Welterweight,U-DEC,5,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Warlley Alves,Mounir Lazzez,1,0,17,2,1,0,0,0,win,Warlley Alves,Welterweight,KO/TKO Kick,1,2:35,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Ike Villanueva,Vinicius Moreira,1,0,24,24,0,0,0,0,win,Ike Villanueva,Light Heavyweight,KO/TKO Punch,2,0:39,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Viviane Araujo,Roxanne Modafferi,0,0,86,46,4,0,1,0,win,Viviane Araujo,Women's Flyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Matt Schnell,Tyson Nam,0,0,85,58,0,0,0,0,win,Matt Schnell,Flyweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Lerone Murphy,Douglas Silva de Andrade,0,0,48,39,1,1,0,0,win,Lerone Murphy,Featherweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Omari Akhmedov,Tom Breese,0,0,25,1,2,0,1,3,win,Omari Akhmedov,Middleweight,SUB Arm Triangle,2,1:41,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Ricky Simon,Gaetano Pirrello,0,0,17,6,7,0,1,0,win,Ricky Simon,Bantamweight,SUB Arm Triangle,2,4:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Sumudaerji,Zarrukh Adashev,0,0,50,28,0,0,0,0,win,Sumudaerji,Flyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Dalcha Lungiambula,Markus Perez,0,0,29,25,1,0,0,1,win,Dalcha Lungiambula,Middleweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Francisco Figueiredo,Jerome Rivera,0,0,29,31,4,0,0,0,win,Francisco Figueiredo,Flyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Mike Davis,Mason Jones,0,0,108,117,3,1,0,0,win,Mike Davis,Lightweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Umar Nurmagomedov,Sergey Morozov,0,0,25,7,5,0,1,0,win,Umar Nurmagomedov,Bantamweight,SUB Rear Naked Choke,2,3:39,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Manon Fiorot,Victoria Leonardo,0,0,53,17,1,0,0,0,win,Manon Fiorot,Women's Flyweight,KO/TKO Punches,2,4:08,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Max Holloway,Calvin Kattar,0,0,445,133,0,0,0,0,win,Max Holloway,Featherweight,U-DEC,5,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Carlos Condit,Matt Brown,0,0,39,28,2,1,0,0,win,Carlos Condit,Welterweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Li Jingliang,Santiago Ponzinibbio,1,0,21,11,0,0,0,0,win,Li Jingliang,Welterweight,KO/TKO Punch,1,4:25,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Alessio Di Chirico,Joaquin Buckley,1,0,12,3,0,0,0,0,win,Alessio Di Chirico,Middleweight,KO/TKO Kick,1,2:12,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Punahele Soriano,Dusko Todorovic,2,0,30,22,0,0,0,0,win,Punahele Soriano,Middleweight,KO/TKO Punch,1,4:48,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Joselyne Edwards,Wu Yanan,0,0,88,58,0,1,1,0,win,Joselyne Edwards,Women's Bantamweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Carlos Felipe,Justin Tafa,0,0,77,86,0,0,0,0,win,Carlos Felipe,Heavyweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Ramazan Emeev,David Zawada,0,0,53,44,4,1,0,0,win,Ramazan Emeev,Welterweight,S-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Vanessa Melo,Sarah Moras,0,0,56,44,0,0,0,0,win,Vanessa Melo,Women's Bantamweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Austin Lingo,Jacob Kilburn,1,0,95,64,1,1,0,1,win,Austin Lingo,Featherweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Stephen Thompson,Geoff Neal,0,0,171,85,0,0,0,0,win,Stephen Thompson,Welterweight,U-DEC,5,5:00,"Las Vegas, Nevada, USA"
Jose Aldo,Marlon Vera,0,0,44,46,0,0,0,0,win,Jose Aldo,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Michel Pereira,Khaos Williams,0,0,44,55,2,0,1,0,win,Michel Pereira,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Rob Font,Marlon Moraes,1,0,30,9,0,2,0,0,win,Rob Font,Bantamweight,KO/TKO Punches,1,3:47,"Las Vegas, Nevada, USA"
Marcin Tybura,Greg Hardy,0,0,51,50,1,0,0,0,win,Marcin Tybura,Heavyweight,KO/TKO Punches,2,4:31,"Las Vegas, Nevada, USA"
Anthony Pettis,Alex Morono,0,0,50,31,0,1,0,0,win,Anthony Pettis,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Pannie Kianzad,Sijara Eubanks,0,0,92,49,0,2,0,0,win,Pannie Kianzad,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Deron Winn,Antonio Arroyo,0,0,20,45,12,0,0,0,win,Deron Winn,Catch Weight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Taila Santos,Gillian Robertson,0,0,27,9,1,0,1,1,win,Taila Santos,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Tafon Nchukwi,Jamie Pickett,1,0,120,40,0,1,0,0,win,Tafon Nchukwi,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Jimmy Flick,Cody Durden,0,0,6,21,0,2,1,0,win,Jimmy Flick,Flyweight,SUB Triangle Choke,1,3:18,"Las Vegas, Nevada, USA"
Christos Giagos,Carlton Minus,0,0,31,28,5,0,0,0,win,Christos Giagos,Catch Weight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Deiveson Figueiredo,Brandon Moreno,0,0,137,132,2,4,0,0,"draw


draw",Brandon Moreno,Flyweight,M-DEC,5,5:00,"Las Vegas, Nevada, USA"
Charles Oliveira,Tony Ferguson,0,0,41,19,3,0,3,0,win,Charles Oliveira,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Mackenzie Dern,Virna Jandiroba,0,0,82,63,0,1,0,0,win,Mackenzie Dern,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Kevin Holland,Jacare Souza,0,0,15,2,0,2,0,0,win,Kevin Holland,Middleweight,KO/TKO Punch,1,1:45,"Las Vegas, Nevada, USA"
Ciryl Gane,Junior Dos Santos,1,0,59,10,0,0,0,0,win,Ciryl Gane,Heavyweight,KO/TKO Elbow,2,2:34,"Las Vegas, Nevada, USA"
Cub Swanson,Daniel Pineda,2,0,46,21,1,1,0,1,win,Cub Swanson,Featherweight,KO/TKO Punch,2,1:52,"Las Vegas, Nevada, USA"
Rafael Fiziev,Renato Moicano,1,0,21,15,0,0,0,0,win,Rafael Fiziev,Lightweight,KO/TKO Punch,1,4:05,"Las Vegas, Nevada, USA"
Gavin Tucker,Billy Quarantillo,0,0,106,84,7,0,0,0,win,Gavin Tucker,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Tecia Pennington,Sam Hughes,0,0,52,20,1,0,0,0,win,Tecia Pennington,Women's Strawweight,KO/TKO,1,5:00,"Las Vegas, Nevada, USA"
Chase Hooper,Peter Barrett,0,0,57,48,0,0,2,0,win,Chase Hooper,Featherweight,SUB Heel Hook,3,3:02,"Las Vegas, Nevada, USA"
Marvin Vettori,Jack Hermansson,1,0,164,122,0,2,1,0,win,Marvin Vettori,Middleweight,U-DEC,5,5:00,"Las Vegas, Nevada, USA"
Jamahal Hill,Ovince Saint Preux,0,0,68,36,0,0,0,0,win,Jamahal Hill,Light Heavyweight,KO/TKO Punches,2,3:37,"Las Vegas, Nevada, USA"
Gabriel Benitez,Justin Jaynes,1,0,38,22,0,0,0,0,win,Gabriel Benitez,Lightweight,KO/TKO Knee,1,4:06,"Las Vegas, Nevada, USA"
Roman Dolidze,John Allan,0,0,51,29,3,1,3,0,win,Roman Dolidze,Light Heavyweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Jordan Leavitt,Matt Wiman,0,0,1,0,1,0,0,0,win,Jordan Leavitt,Lightweight,KO/TKO Slam,1,0:22,"Las Vegas, Nevada, USA"
Louis Smolka,Jose Quinonez,0,0,59,43,3,2,0,0,win,Louis Smolka,Bantamweight,KO/TKO Punches,2,2:15,"Las Vegas, Nevada, USA"
Ilia Topuria,Damon Jackson,1,0,31,16,0,0,0,0,win,Ilia Topuria,Featherweight,KO/TKO Punch,1,2:38,"Las Vegas, Nevada, USA"
Jake Collier,Gian Villante,0,0,123,80,0,0,0,0,win,Jake Collier,Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Anthony Smith,Devin Clark,0,0,1,1,1,0,1,0,win,Anthony Smith,Light Heavyweight,SUB Triangle Choke,1,2:34,"Las Vegas, Nevada, USA"
Miguel Baeza,Takashi Sato,0,0,40,15,1,0,1,0,win,Miguel Baeza,Welterweight,SUB Arm Triangle,2,4:28,"Las Vegas, Nevada, USA"
Parker Porter,Josh Parisian,0,0,126,114,2,0,1,0,win,Parker Porter,Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Bill Algeo,Spike Carlyle,0,0,70,23,1,4,0,1,win,Bill Algeo,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Norma Dumont,Ashlee Evans-Smith,1,0,94,42,2,0,0,0,win,Norma Dumont,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Jonathan Pearce,Kai Kamaka,0,0,51,47,5,1,1,1,win,Jonathan Pearce,Featherweight,KO/TKO Punches,2,4:28,"Las Vegas, Nevada, USA"
Anderson Dos Santos,Martin Day,0,0,11,9,1,1,1,0,win,Anderson Dos Santos,Bantamweight,SUB Guillotine Choke,1,4:35,"Las Vegas, Nevada, USA"
Gina Mazany,Rachael Ostovich,1,0,72,41,7,0,1,0,win,Gina Mazany,Women's Flyweight,KO/TKO Kick,3,4:10,"Las Vegas, Nevada, USA"
Sumudaerji,Malcolm Gordon,1,0,9,0,0,0,0,0,win,Sumudaerji,Flyweight,KO/TKO Punches,1,0:44,"Las Vegas, Nevada, USA"
Nate Maness,Luke Sanders,1,0,33,55,1,0,1,0,win,Nate Maness,Catch Weight,SUB Rear Naked Choke,2,2:29,"Las Vegas, Nevada, USA"
Deiveson Figueiredo,Alex Perez,0,0,5,6,0,0,1,0,win,Deiveson Figueiredo,Flyweight,SUB Guillotine Choke,1,1:57,"Las Vegas, Nevada, USA"
Valentina Shevchenko,Jennifer Maia,0,0,62,36,5,1,0,0,win,Valentina Shevchenko,Women's Flyweight,U-DEC,5,5:00,"Las Vegas, Nevada, USA"
Tim Means,Mike Perry,0,0,128,64,0,1,0,2,win,Tim Means,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Katlyn Cerminara,Cynthia Calvillo,0,0,69,60,0,1,0,0,win,Katlyn Cerminara,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Paul Craig,Mauricio Rua,0,0,29,10,4,0,0,0,win,Paul Craig,Light Heavyweight,KO/TKO Punches,2,3:36,"Las Vegas, Nevada, USA"
Brandon Moreno,Brandon Royval,0,0,16,17,2,0,2,0,win,Brandon Moreno,Flyweight,KO/TKO Punches,1,4:59,"Las Vegas, Nevada, USA"
Joaquin Buckley,Jordan Wright,2,0,43,18,0,0,0,0,win,Joaquin Buckley,Middleweight,KO/TKO Punches,2,0:18,"Las Vegas, Nevada, USA"
Antonina Shevchenko,Ariane da Silva,0,0,39,15,1,0,0,0,win,Antonina Shevchenko,Women's Flyweight,KO/TKO Punches,2,4:33,"Las Vegas, Nevada, USA"
Nicolas Dalby,Daniel Rodriguez,0,0,50,83,0,0,0,0,win,Nicolas Dalby,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Alan Jouban,Jared Gooden,0,0,168,100,0,1,2,0,win,Alan Jouban,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Kyle Daukaus,Dustin Stoltzfus,0,0,64,32,2,0,1,0,win,Kyle Daukaus,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Sasha Palatnikov,Louis Cosce,0,1,125,99,1,1,0,0,win,Sasha Palatnikov,Welterweight,KO/TKO Punches,3,2:47,"Las Vegas, Nevada, USA"
Rafael Dos Anjos,Paul Felder,0,0,92,98,6,1,0,0,win,Rafael Dos Anjos,Lightweight,S-DEC,5,5:00,"Las Vegas, Nevada, USA"
Khaos Williams,Abdul Razak Alhassan,1,0,5,2,0,0,0,0,win,Khaos Williams,Welterweight,KO/TKO Punch,1,0:30,"Las Vegas, Nevada, USA"
Ashley Yoder,Miranda Granger,0,0,26,33,2,0,3,0,win,Ashley Yoder,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Sean Strickland,Brendan Allen,1,0,94,51,1,0,0,0,win,Sean Strickland,Catch Weight,KO/TKO Punches,2,1:32,"Las Vegas, Nevada, USA"
Cory McKenna,Kay Hansen,0,0,57,67,0,2,0,2,win,Cory McKenna,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Kanako Murata,Randa Markos,0,0,29,29,4,0,2,0,win,Kanako Murata,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Tony Gravely,Geraldo de Freitas,0,0,49,76,7,1,0,0,win,Tony Gravely,Bantamweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Alex Morono,Rhys McKee,0,0,176,124,3,0,0,0,win,Alex Morono,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Don'Tale Mayes,Roque Martinez,0,0,59,58,1,1,0,0,win,Don'Tale Mayes,Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Glover Teixeira,Thiago Santos,0,1,46,40,4,0,2,0,win,Glover Teixeira,Light Heavyweight,SUB Rear Naked Choke,3,1:49,"Las Vegas, Nevada, USA"
Andrei Arlovski,Tanner Boser,0,0,34,68,0,0,0,0,win,Andrei Arlovski,Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Raoni Barcelos,Khalid Taha,0,0,120,49,2,0,1,0,win,Raoni Barcelos,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Giga Chikadze,Jamey Simmons,1,0,8,2,0,0,0,0,win,Giga Chikadze,Featherweight,KO/TKO Kick,1,3:51,"Las Vegas, Nevada, USA"
Yan Xiaonan,Claudia Gadelha,0,0,74,36,0,2,0,0,win,Yan Xiaonan,Women's Strawweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Trevin Giles,Bevon Lewis,2,0,38,26,1,0,0,0,win,Trevin Giles,Middleweight,KO/TKO Punches,3,1:26,"Las Vegas, Nevada, USA"
Alexandr Romanov,Marcos Rogerio de Lima,0,0,6,18,2,0,1,0,win,Alexandr Romanov,Heavyweight,SUB Forearm Choke,1,4:48,"Las Vegas, Nevada, USA"
Darren Elkins,Eduardo Garagorri,0,0,32,36,7,0,1,0,win,Darren Elkins,Featherweight,SUB Rear Naked Choke,3,2:22,"Las Vegas, Nevada, USA"
Max Griffin,Ramiz Brahimaj,0,0,74,45,0,0,0,0,win,Max Griffin,Welterweight,KO/TKO Elbow,3,2:03,"Las Vegas, Nevada, USA"
Gustavo Lopez,Anthony Birchak,0,0,26,17,2,0,1,0,win,Gustavo Lopez,Bantamweight,SUB Rear Naked Choke,1,2:43,"Las Vegas, Nevada, USA"
Uriah Hall,Anderson Silva,2,0,60,53,0,0,0,0,win,Uriah Hall,Middleweight,KO/TKO Punches,4,1:24,"Las Vegas, Nevada, USA"
Bryce Mitchell,Andre Fili,0,0,46,27,7,0,1,0,win,Bryce Mitchell,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Greg Hardy,Maurice Greene,1,0,46,17,1,0,0,0,win,Greg Hardy,Heavyweight,KO/TKO Punches,2,1:12,"Las Vegas, Nevada, USA"
Kevin Holland,Charlie Ontiveros,0,0,11,2,2,0,0,0,win,Kevin Holland,Middleweight,SUB Injury,1,2:39,"Las Vegas, Nevada, USA"
Thiago Moises,King Green,0,0,42,85,2,2,1,0,win,Thiago Moises,Lightweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Alexander Hernandez,Chris Gruetzemacher,1,0,29,8,0,0,0,0,win,Alexander Hernandez,Lightweight,KO/TKO Punches,1,1:46,"Las Vegas, Nevada, USA"
Adrian Yanez,Victor Rodriguez,1,0,17,6,0,0,0,0,win,Adrian Yanez,Bantamweight,KO/TKO Kick,1,2:46,"Las Vegas, Nevada, USA"
Sean Strickland,Jack Marshman,0,0,106,48,0,0,0,0,win,Sean Strickland,Middleweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Jason Witt,Cole Williams,0,0,20,1,2,0,1,0,win,Jason Witt,Welterweight,SUB Arm Triangle,2,2:09,"Las Vegas, Nevada, USA"
Dustin Jacoby,Justin Ledet,2,0,22,10,0,0,0,0,win,Dustin Jacoby,Light Heavyweight,KO/TKO Punch,1,2:38,"Las Vegas, Nevada, USA"
Miles Johns,Kevin Natividad,1,0,48,33,0,0,0,0,win,Miles Johns,Bantamweight,KO/TKO Punch,3,2:51,"Las Vegas, Nevada, USA"
Khabib Nurmagomedov,Justin Gaethje,0,0,26,29,2,0,1,0,win,Khabib Nurmagomedov,Lightweight,SUB Triangle Choke,2,1:34,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Robert Whittaker,Jared Cannonier,1,0,69,53,0,0,0,0,win,Robert Whittaker,Middleweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Alexander Volkov,Walt Harris,0,0,45,16,0,0,0,0,win,Alexander Volkov,Heavyweight,KO/TKO Kick,2,1:15,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Phil Hawes,Jacob Malkoun,1,0,7,0,0,0,0,0,win,Phil Hawes,Middleweight,KO/TKO Punches,1,0:18,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Lauren Murphy,Liliya Shakirova,0,0,22,23,1,0,1,0,win,Lauren Murphy,Women's Flyweight,SUB Rear Naked Choke,2,3:31,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Magomed Ankalaev,Ion Cutelaba,2,0,21,11,0,0,0,0,win,Magomed Ankalaev,Light Heavyweight,KO/TKO Punch,1,4:19,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Tai Tuivasa,Stefan Struve,1,0,27,13,0,0,0,0,win,Tai Tuivasa,Heavyweight,KO/TKO Punches,1,4:59,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
