fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Donte Johnson,Sedriques Dumas,2025-11-01,"Las Vegas, Nevada, USA",Herb Dean,0,0,10,5,3,1,1,0,win,Donte Johnson,Middleweight,SUB Guillotine Choke,2,00:01:25,False
Norma Dumont,Ketlen Vieira,2025-11-01,"Las Vegas, Nevada, USA",Mark Smith,0,0,62,25,0,2,0,1,win,Norma Dumont,Women's Bantamweight,S-DEC,3,00:05:00,False
Alice Ardelean,Montserrat Conejo Ruiz,2025-11-01,"Las Vegas, Nevada, USA",Chris Tognoni,0,0,138,85,1,1,0,0,win,Alice Ardelean,Women's Strawweight,U-DEC,3,00:05:00,False
Seokhyeon Ko,Phil Rowe,2025-11-01,"Las Vegas, Nevada, USA",Eric McMahon,0,0,36,4,4,0,0,0,win,Seokhyeon Ko,Welterweight,U-DEC,3,00:05:00,False
Talita Alencar,Ariane Carnelossi,2025-11-01,"Las Vegas, Nevada, USA",Mark Smith,0,0,60,25,5,0,2,0,win,Talita Alencar,Women's Strawweight,SUB Rear Naked Choke,3,00:04:36,False
Mackenzie Dern,Virna Jandiroba,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,118,106,2,9,0,0,win,Mackenzie Dern,Women's Strawweight,U-DEC,5,00:05:00,True
Umar Nurmagomedov,Mario Bautista,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,0,1,32,20,11,0,0,1,win,Umar Nurmagomedov,Bantamweight,U-DEC,3,00:05:00,False
Alexander Volkov,Jailton Almeida,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,24,9,0,7,0,0,win,Alexander Volkov,Heavyweight,S-DEC,3,00:05:00,False
Azamat Murzakanov,Aleksandar Rakic,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Rich Mitchell,1,0,3,9,0,0,0,0,win,Azamat Murzakanov,Light Heavyweight,KO/TKO Punch,1,00:03:11,False
Quillan Salkilld,Nasrat Haqparast,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Kerry Hatley,1,0,14,10,0,0,0,0,win,Quillan Salkilld,Lightweight,KO/TKO Kick,1,00:02:30,False
Ikram Aliskerov,JunYong Park,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Rich Mitchell,0,0,91,78,5,0,0,0,win,Ikram Aliskerov,Middleweight,U-DEC,3,00:05:00,False
Ludovit Klein,Mateusz Rebecki,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,82,72,0,3,0,0,win,Ludovit Klein,Lightweight,M-DEC,3,00:05:00,False
Valter Walker,Louie Sutherland,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Kerry Hatley,0,0,5,3,1,0,1,0,win,Valter Walker,Heavyweight,SUB Heel Hook,1,00:01:24,False
